country,value
Sao Tome and Principe,
Suriname,
Slovak Republic,9966.9915221332
Slovenia,13219.2438498174
Sweden,25717.7362749618
Eswatini,2822.25046782745
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,581.951740673014
East Asia & Pacific (IDA & IBRD countries),
Europe & Central Asia (IDA & IBRD countries),5358.02113689915
Togo,683.602418144397
Thailand,3011.6080172809
Tajikistan,
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),5863.26342178364
Timor-Leste,613.68430993286
Middle East & North Africa (IDA & IBRD countries),2271.7130765065
Tonga,
South Asia (IDA & IBRD),1002.64963355665
Sub-Saharan Africa (IDA & IBRD countries),1075.6801633546
Trinidad and Tobago,
Tunisia,
Turkey,8606.13540246915
Tuvalu,
Tanzania,567.951927580251
Uganda,484.556026686268
Ukraine,2020.15231932187
Upper middle income,
Uruguay,9531.21250979187
United States,36373.4048408852
Uzbekistan,
St. Vincent and the Grenadines,
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,1166.4746610693
Vanuatu,
World,5765.54686461655
Samoa,
Kosovo,3611.10123687626
"Yemen, Rep.",466.34706149672
South Africa,4545.5085748028
Zambia,
Zimbabwe,645.711597218414
